product_id,product_name,brand,category,tier,price,mrp,discount_pct,rating,review_count,key_ingredients,skin_concern,is_bestseller,date_added,source,price_segment
NYK1000,The Ordinary Glycerin Facial Oil,The Ordinary,Face Oil,Mid-range,1317,1386,5,4.7,332,"Vitamin C, Niacinamide, Glycerin",Hydration,False,2023-08-17,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1001,Garnier Squalane Repair Serum,Garnier,Face Serum,Mid-range,1110,1707,35,3.9,444,Squalane,Anti-Ageing,False,2024-08-27,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1002,Dot & Key Salicylic Acid Serum,Dot & Key,Face Serum,Budget,919,1021,10,2.9,1771,Salicylic Acid,Hydration,False,2023-08-27,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1003,Plum Squalane Water Cream,Plum,Moisturiser,Budget,246,273,10,4.6,507,"Squalane, Kojic Acid, Peptides",Oil Control,False,2024-08-26,synthetic_nykaa_model,Budget (< ₹500)
NYK1004,mCaffeine Kojic Acid Cleanser,mCaffeine,Face Wash,Budget,231,271,15,4.0,323,Kojic Acid,Pore Care,False,2023-10-12,synthetic_nykaa_model,Budget (< ₹500)
NYK1005,Mamaearth Salicylic Acid Clarifying Toner,Mamaearth,Toner,Budget,450,500,10,3.9,186,"Vitamin C, Salicylic Acid",Sensitive Skin,False,2023-04-10,synthetic_nykaa_model,Budget (< ₹500)
NYK1006,Minimalist Alpha Arbutin Spot Gel,Minimalist,Spot Treatment,Budget,570,633,10,3.3,18656,"Glycerin, Hyaluronic Acid, Alpha Arbutin",Anti-Ageing,False,2024-01-23,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1007,Dot & Key Ceramides Facial Oil,Dot & Key,Face Oil,Budget,1480,1850,20,4.3,817,"Green Tea Extract, Ceramides",Anti-Ageing,False,2023-02-16,synthetic_nykaa_model,Mid-range (₹500–1500)
NYK1008,Mamaearth Peptides Brightening Serum,Mamaearth,Face Serum,Budget,474,526,10,3.7,1683,Peptides,Anti-Ageing,False,2024-01-25,synthetic_nykaa_model,Budget (< ₹500)
NYK1009,The Ordinary Squalane Water Cream,The Ordinary,Moisturiser,Mid-range,579,681,15,4.2,160,"Green Tea Extract, AHA/BHA, Squalane",Pore Care,False,2023-08-03,synthetic_nykaa_model,Mid-range (₹500–1500)
